customerID,total_returns,total_orders,return_rate,customer_return_behavior
470,2,4,0.5,moderately high
478,3,3,1.0,high
479,2,2,1.0,high
482,2,3,0.6666666666666666,moderately high
489,10,12,0.8333333333333334,high
490,0,2,0.0,low
491,12,17,0.7058823529411765,moderately high
493,5,9,0.5555555555555556,moderately high
494,0,9,0.0,low
495,3,8,0.375,moderately low
496,1,5,0.2,low
497,0,1,0.0,low
499,1,2,0.5,moderately high
501,1,2,0.5,moderately high
502,0,3,0.0,low
503,0,1,0.0,low
505,24,72,0.3333333333333333,moderately low
510,1,5,0.2,low
511,0,1,0.0,low
514,2,5,0.4,moderately low
515,0,6,0.0,low
517,1,1,1.0,high
519,0,8,0.0,low
523,1,1,1.0,high
527,1,5,0.2,low
528,0,3,0.0,low
531,0,12,0.0,low
533,1,5,0.2,low
534,7,14,0.5,moderately high
539,2,4,0.5,moderately high
545,16,25,0.64,moderately high
546,4,4,1.0,high
547,3,3,1.0,high
550,3,8,0.375,moderately low
556,1,4,0.25,moderately low
558,6,11,0.5454545454545454,moderately high
564,0,2,0.0,low
565,22,27,0.8148148148148148,high
566,3,7,0.42857142857142855,moderately low
568,14,18,0.7777777777777778,high
569,0,2,0.0,low
573,0,5,0.0,low
574,3,19,0.15789473684210525,low
576,3,12,0.25,moderately low
577,3,5,0.6,moderately high
581,1,2,0.5,moderately high
588,7,18,0.3888888888888889,moderately low
589,0,1,0.0,low
590,14,23,0.6086956521739131,moderately high
591,2,7,0.2857142857142857,moderately low
593,4,5,0.8,high
595,7,8,0.875,high
596,1,9,0.1111111111111111,low
598,25,44,0.5681818181818182,moderately high
601,0,2,0.0,low
606,4,11,0.36363636363636365,moderately low
615,2,3,0.6666666666666666,moderately high
616,4,11,0.36363636363636365,moderately low
619,9,11,0.8181818181818182,high
622,1,1,1.0,high
623,0,2,0.0,low
625,10,16,0.625,moderately high
632,4,6,0.6666666666666666,moderately high
633,0,2,0.0,low
635,1,1,1.0,high
641,5,5,1.0,high
648,0,3,0.0,low
649,4,6,0.6666666666666666,moderately high
651,7,16,0.4375,moderately low
653,4,7,0.5714285714285714,moderately high
656,1,2,0.5,moderately high
660,6,11,0.5454545454545454,moderately high
663,3,4,0.75,high
664,3,6,0.5,moderately high
667,5,6,0.8333333333333334,high
668,1,3,0.3333333333333333,moderately low
674,1,1,1.0,high
677,2,4,0.5,moderately high
680,7,10,0.7,moderately high
682,6,10,0.6,moderately high
697,1,4,0.25,moderately low
701,1,9,0.1111111111111111,low
702,7,8,0.875,high
706,1,6,0.16666666666666666,low
707,2,3,0.6666666666666666,moderately high
708,12,13,0.9230769230769231,high
709,1,3,0.3333333333333333,moderately low
710,10,64,0.15625,low
713,0,5,0.0,low
714,1,1,1.0,high
715,0,1,0.0,low
716,20,24,0.8333333333333334,high
717,11,16,0.6875,moderately high
721,2,3,0.6666666666666666,moderately high
725,4,7,0.5714285714285714,moderately high
726,3,7,0.42857142857142855,moderately low
729,0,2,0.0,low
732,0,5,0.0,low
733,3,4,0.75,high
737,1,3,0.3333333333333333,moderately low
738,8,9,0.8888888888888888,high
739,0,2,0.0,low
740,8,19,0.42105263157894735,moderately low
741,4,5,0.8,high
742,2,4,0.5,moderately high
743,0,2,0.0,low
744,76,136,0.5588235294117647,moderately high
745,4,7,0.5714285714285714,moderately high
746,2,3,0.6666666666666666,moderately high
748,5,8,0.625,moderately high
753,6,10,0.6,moderately high
756,9,16,0.5625,moderately high
761,2,3,0.6666666666666666,moderately high
762,0,3,0.0,low
764,8,12,0.6666666666666666,moderately high
765,7,10,0.7,moderately high
767,0,3,0.0,low
772,0,2,0.0,low
774,2,4,0.5,moderately high
777,1,3,0.3333333333333333,moderately low
780,6,15,0.4,moderately low
781,33,44,0.75,high
783,9,14,0.6428571428571429,moderately high
785,1,5,0.2,low
788,1,2,0.5,moderately high
789,1,2,0.5,moderately high
794,3,6,0.5,moderately high
799,1,5,0.2,low
801,1,1,1.0,high
804,2,13,0.15384615384615385,low
806,0,2,0.0,low
807,4,5,0.8,high
810,2,7,0.2857142857142857,moderately low
811,0,4,0.0,low
812,2,4,0.5,moderately high
815,5,6,0.8333333333333334,high
817,1,2,0.5,moderately high
819,8,15,0.5333333333333333,moderately high
821,6,9,0.6666666666666666,moderately high
823,2,3,0.6666666666666666,moderately high
824,134,154,0.8701298701298701,high
826,0,2,0.0,low
828,1,2,0.5,moderately high
829,5,17,0.29411764705882354,moderately low
833,1,1,1.0,high
834,4,8,0.5,moderately high
835,0,3,0.0,low
836,2,3,0.6666666666666666,moderately high
840,6,10,0.6,moderately high
841,0,4,0.0,low
842,3,15,0.2,low
844,3,6,0.5,moderately high
846,2,6,0.3333333333333333,moderately low
854,1,3,0.3333333333333333,moderately low
858,4,15,0.26666666666666666,moderately low
864,8,9,0.8888888888888888,high
865,0,1,0.0,low
874,1,6,0.16666666666666666,low
878,44,103,0.42718446601941745,moderately low
880,2,4,0.5,moderately high
885,5,10,0.5,moderately high
886,2,3,0.6666666666666666,moderately high
896,4,5,0.8,high
898,7,9,0.7777777777777778,high
900,2,7,0.2857142857142857,moderately low
905,6,7,0.8571428571428571,high
913,3,9,0.3333333333333333,moderately low
920,0,1,0.0,low
924,5,9,0.5555555555555556,moderately high
925,2,11,0.18181818181818182,low
927,5,7,0.7142857142857143,moderately high
933,2,4,0.5,moderately high
941,4,12,0.3333333333333333,moderately low
942,3,10,0.3,moderately low
951,0,2,0.0,low
953,6,14,0.42857142857142855,moderately low
954,6,6,1.0,high
955,0,1,0.0,low
958,9,15,0.6,moderately high
959,7,24,0.2916666666666667,moderately low
960,7,14,0.5,moderately high
963,5,6,0.8333333333333334,high
964,4,5,0.8,high
968,2,2,1.0,high
969,0,6,0.0,low
970,0,3,0.0,low
971,2,2,1.0,high
972,7,18,0.3888888888888889,moderately low
974,2,2,1.0,high
975,1,3,0.3333333333333333,moderately low
977,9,18,0.5,moderately high
978,6,9,0.6666666666666666,moderately high
983,2,5,0.4,moderately low
984,5,9,0.5555555555555556,moderately high
985,0,1,0.0,low
991,3,3,1.0,high
993,2,6,0.3333333333333333,moderately low
994,1,1,1.0,high
998,15,19,0.7894736842105263,high
999,11,15,0.7333333333333333,moderately high
1000,4,12,0.3333333333333333,moderately low
1001,6,11,0.5454545454545454,moderately high
1002,0,1,0.0,low
1003,0,4,0.0,low
1008,2,4,0.5,moderately high
1009,3,5,0.6,moderately high
1010,12,16,0.75,high
1011,5,15,0.3333333333333333,moderately low
1012,13,14,0.9285714285714286,high
1013,5,7,0.7142857142857143,moderately high
1014,0,1,0.0,low
1016,0,3,0.0,low
1018,2,3,0.6666666666666666,moderately high
1019,0,1,0.0,low
1021,1,2,0.5,moderately high
1023,4,4,1.0,high
1024,5,16,0.3125,moderately low
1025,0,5,0.0,low
1027,3,4,0.75,high
1029,1,1,1.0,high
1031,6,8,0.75,high
1034,2,8,0.25,moderately low
1037,28,35,0.8,high
1038,4,10,0.4,moderately low
1040,2,4,0.5,moderately high
1041,7,10,0.7,moderately high
1042,11,13,0.8461538461538461,high
1044,0,1,0.0,low
1045,8,16,0.5,moderately high
1046,21,34,0.6176470588235294,moderately high
1050,0,3,0.0,low
1052,11,13,0.8461538461538461,high
1054,0,3,0.0,low
1057,2,6,0.3333333333333333,moderately low
1058,1,4,0.25,moderately low
1059,14,30,0.4666666666666667,moderately low
1061,3,6,0.5,moderately high
1062,0,1,0.0,low
1063,5,8,0.625,moderately high
1064,3,7,0.42857142857142855,moderately low
1068,7,9,0.7777777777777778,high
1069,1,2,0.5,moderately high
1075,6,13,0.46153846153846156,moderately low
1078,1,11,0.09090909090909091,low
1079,2,13,0.15384615384615385,low
1080,1,5,0.2,low
1081,0,1,0.0,low
1083,2,6,0.3333333333333333,moderately low
1084,10,15,0.6666666666666666,moderately high
1088,4,9,0.4444444444444444,moderately low
1090,2,16,0.125,low
1092,1,5,0.2,low
1098,4,6,0.6666666666666666,moderately high
1100,2,5,0.4,moderately low
1102,4,6,0.6666666666666666,moderately high
1103,1,3,0.3333333333333333,moderately low
1104,0,2,0.0,low
1106,0,1,0.0,low
1115,9,13,0.6923076923076923,moderately high
1116,2,2,1.0,high
1119,7,12,0.5833333333333334,moderately high
1122,6,7,0.8571428571428571,high
1128,0,2,0.0,low
1132,3,3,1.0,high
1133,8,12,0.6666666666666666,moderately high
1134,15,26,0.5769230769230769,moderately high
1135,1,10,0.1,low
1136,1,3,0.3333333333333333,moderately low
1139,3,6,0.5,moderately high
1141,4,8,0.5,moderately high
1142,4,12,0.3333333333333333,moderately low
1147,4,10,0.4,moderately low
1150,3,8,0.375,moderately low
1153,1,8,0.125,low
1155,9,13,0.6923076923076923,moderately high
1156,0,2,0.0,low
1159,2,6,0.3333333333333333,moderately low
1162,16,23,0.6956521739130435,moderately high
1163,7,26,0.2692307692307692,moderately low
1165,12,17,0.7058823529411765,moderately high
1171,8,14,0.5714285714285714,moderately high
1173,3,8,0.375,moderately low
1174,0,1,0.0,low
1177,2,3,0.6666666666666666,moderately high
1179,8,13,0.6153846153846154,moderately high
1182,2,2,1.0,high
1183,6,15,0.4,moderately low
1186,3,10,0.3,moderately low
1189,13,22,0.5909090909090909,moderately high
1190,1,2,0.5,moderately high
1193,11,28,0.39285714285714285,moderately low
1195,7,15,0.4666666666666667,moderately low
1200,4,14,0.2857142857142857,moderately low
1202,0,2,0.0,low
1207,5,5,1.0,high
1213,3,5,0.6,moderately high
1220,4,10,0.4,moderately low
1221,1,3,0.3333333333333333,moderately low
1222,5,10,0.5,moderately high
1226,0,1,0.0,low
1228,1,3,0.3333333333333333,moderately low
1229,1,5,0.2,low
1231,5,5,1.0,high
1234,7,10,0.7,moderately high
1236,1,3,0.3333333333333333,moderately low
1237,1,5,0.2,low
1238,2,3,0.6666666666666666,moderately high
1243,3,4,0.75,high
1246,24,30,0.8,high
1248,9,20,0.45,moderately low
1250,7,19,0.3684210526315789,moderately low
1252,8,9,0.8888888888888888,high
1263,1,2,0.5,moderately high
1270,8,12,0.6666666666666666,moderately high
1273,19,26,0.7307692307692307,moderately high
1276,3,4,0.75,high
1283,1,5,0.2,low
1286,3,14,0.21428571428571427,low
1287,8,9,0.8888888888888888,high
1294,2,2,1.0,high
1295,15,26,0.5769230769230769,moderately high
1299,1,2,0.5,moderately high
1300,6,8,0.75,high
1301,0,1,0.0,low
1304,7,34,0.20588235294117646,low
1306,0,2,0.0,low
1307,2,6,0.3333333333333333,moderately low
1308,0,1,0.0,low
1311,32,45,0.7111111111111111,moderately high
1312,2,13,0.15384615384615385,low
1315,1,6,0.16666666666666666,low
1316,3,5,0.6,moderately high
1317,1,2,0.5,moderately high
1318,0,1,0.0,low
1319,0,1,0.0,low
1327,0,5,0.0,low
1331,0,5,0.0,low
1337,8,10,0.8,high
1339,12,18,0.6666666666666666,moderately high
1342,6,16,0.375,moderately low
1350,33,47,0.7021276595744681,moderately high
1352,4,4,1.0,high
1360,6,12,0.5,moderately high
1361,0,1,0.0,low
1362,1,1,1.0,high
1364,4,9,0.4444444444444444,moderately low
1366,5,12,0.4166666666666667,moderately low
1368,0,2,0.0,low
1370,2,27,0.07407407407407407,low
1375,7,14,0.5,moderately high
1376,2,5,0.4,moderately low
1378,3,5,0.6,moderately high
1379,1,2,0.5,moderately high
1384,5,9,0.5555555555555556,moderately high
1385,5,8,0.625,moderately high
1388,1,7,0.14285714285714285,low
1390,4,8,0.5,moderately high
1391,2,2,1.0,high
1392,14,16,0.875,high
1399,0,3,0.0,low
1401,2,14,0.14285714285714285,low
1407,0,3,0.0,low
1408,2,6,0.3333333333333333,moderately low
1410,2,3,0.6666666666666666,moderately high
1416,3,5,0.6,moderately high
1419,4,4,1.0,high
1421,6,8,0.75,high
1423,2,2,1.0,high
1426,3,9,0.3333333333333333,moderately low
1428,3,7,0.42857142857142855,moderately low
1429,5,5,1.0,high
1430,0,3,0.0,low
1433,4,11,0.36363636363636365,moderately low
1436,0,6,0.0,low
1438,4,8,0.5,moderately high
1440,10,13,0.7692307692307693,high
1441,1,1,1.0,high
1443,5,5,1.0,high
1448,3,9,0.3333333333333333,moderately low
1451,6,10,0.6,moderately high
1452,1,9,0.1111111111111111,low
1453,2,2,1.0,high
1456,1,5,0.2,low
1458,1,4,0.25,moderately low
1466,1,8,0.125,low
1467,3,13,0.23076923076923078,low
1469,1,7,0.14285714285714285,low
1481,0,3,0.0,low
1483,4,6,0.6666666666666666,moderately high
1486,7,13,0.5384615384615384,moderately high
1491,16,26,0.6153846153846154,moderately high
1493,12,15,0.8,high
1494,1,5,0.2,low
1499,7,16,0.4375,moderately low
1500,1,3,0.3333333333333333,moderately low
1502,0,2,0.0,low
1503,2,11,0.18181818181818182,low
1507,12,22,0.5454545454545454,moderately high
1510,0,1,0.0,low
1514,4,9,0.4444444444444444,moderately low
1517,2,3,0.6666666666666666,moderately high
1518,1,8,0.125,low
1522,0,2,0.0,low
1524,5,8,0.625,moderately high
1528,16,21,0.7619047619047619,high
1529,6,14,0.42857142857142855,moderately low
1532,0,3,0.0,low
1533,0,3,0.0,low
1536,1,2,0.5,moderately high
1539,10,10,1.0,high
1542,1,4,0.25,moderately low
1543,1,3,0.3333333333333333,moderately low
1545,4,19,0.21052631578947367,low
1546,3,10,0.3,moderately low
1547,1,2,0.5,moderately high
1550,8,8,1.0,high
1555,2,5,0.4,moderately low
1556,1,1,1.0,high
1558,3,5,0.6,moderately high
1559,6,9,0.6666666666666666,moderately high
1560,2,3,0.6666666666666666,moderately high
1564,2,8,0.25,moderately low
1569,0,2,0.0,low
1571,9,9,1.0,high
1575,0,1,0.0,low
1576,7,9,0.7777777777777778,high
1577,13,23,0.5652173913043478,moderately high
1580,3,6,0.5,moderately high
1581,1,5,0.2,low
1582,3,5,0.6,moderately high
1584,0,2,0.0,low
1585,0,3,0.0,low
1591,6,14,0.42857142857142855,moderately low
1596,1,5,0.2,low
1597,2,2,1.0,high
1600,9,10,0.9,high
1601,0,1,0.0,low
1602,5,10,0.5,moderately high
1603,4,4,1.0,high
1604,2,3,0.6666666666666666,moderately high
1605,2,4,0.5,moderately high
1612,1,5,0.2,low
1613,4,10,0.4,moderately low
1614,1,4,0.25,moderately low
1617,0,1,0.0,low
1618,13,30,0.43333333333333335,moderately low
1620,1,2,0.5,moderately high
1621,5,6,0.8333333333333334,high
1629,2,4,0.5,moderately high
1632,13,23,0.5652173913043478,moderately high
1634,0,1,0.0,low
1637,0,2,0.0,low
1639,3,6,0.5,moderately high
1643,32,55,0.5818181818181818,moderately high
1645,1,2,0.5,moderately high
1651,2,3,0.6666666666666666,moderately high
1656,0,2,0.0,low
1660,1,6,0.16666666666666666,low
1663,0,6,0.0,low
1665,1,2,0.5,moderately high
1667,1,14,0.07142857142857142,low
1668,4,9,0.4444444444444444,moderately low
1671,1,2,0.5,moderately high
1672,4,5,0.8,high
1674,0,7,0.0,low
1677,0,2,0.0,low
1678,1,5,0.2,low
1682,6,20,0.3,moderately low
1683,7,13,0.5384615384615384,moderately high
1686,2,7,0.2857142857142857,moderately low
1687,1,6,0.16666666666666666,low
1689,0,3,0.0,low
1690,0,5,0.0,low
1695,1,2,0.5,moderately high
1698,3,8,0.375,moderately low
1707,1,4,0.25,moderately low
1711,3,5,0.6,moderately high
1712,1,3,0.3333333333333333,moderately low
1713,0,4,0.0,low
1714,6,9,0.6666666666666666,moderately high
1715,0,1,0.0,low
1721,1,2,0.5,moderately high
1722,0,2,0.0,low
1724,8,10,0.8,high
1725,4,5,0.8,high
1729,10,14,0.7142857142857143,moderately high
1730,3,4,0.75,high
1731,2,6,0.3333333333333333,moderately low
1733,4,7,0.5714285714285714,moderately high
1734,0,2,0.0,low
1742,12,15,0.8,high
1746,7,9,0.7777777777777778,high
1748,6,15,0.4,moderately low
1750,4,6,0.6666666666666666,moderately high
1752,4,6,0.6666666666666666,moderately high
1756,4,4,1.0,high
1758,2,2,1.0,high
1759,2,6,0.3333333333333333,moderately low
1764,0,6,0.0,low
1776,2,5,0.4,moderately low
1779,1,1,1.0,high
1780,0,12,0.0,low
1782,1,1,1.0,high
1785,1,6,0.16666666666666666,low
1786,2,5,0.4,moderately low
1787,8,24,0.3333333333333333,moderately low
1794,0,1,0.0,low
1795,0,6,0.0,low
1796,3,5,0.6,moderately high
1799,3,7,0.42857142857142855,moderately low
1800,2,2,1.0,high
1801,22,40,0.55,moderately high
1802,0,1,0.0,low
1807,6,61,0.09836065573770492,low
1808,6,7,0.8571428571428571,high
1809,3,7,0.42857142857142855,moderately low
1820,11,22,0.5,moderately high
1821,8,9,0.8888888888888888,high
1822,1,1,1.0,high
1823,1,1,1.0,high
1824,0,2,0.0,low
1825,6,11,0.5454545454545454,moderately high
1826,8,19,0.42105263157894735,moderately low
1827,0,8,0.0,low
1829,4,4,1.0,high
1830,5,14,0.35714285714285715,moderately low
1831,18,45,0.4,moderately low
1832,2,5,0.4,moderately low
1834,5,12,0.4166666666666667,moderately low
1838,4,10,0.4,moderately low
1842,5,8,0.625,moderately high
1843,1,2,0.5,moderately high
1847,3,6,0.5,moderately high
1851,16,28,0.5714285714285714,moderately high
1852,4,8,0.5,moderately high
1855,2,6,0.3333333333333333,moderately low
1857,9,25,0.36,moderately low
1858,1,2,0.5,moderately high
1859,0,2,0.0,low
1860,3,14,0.21428571428571427,low
1861,4,9,0.4444444444444444,moderately low
1863,7,9,0.7777777777777778,high
1865,0,1,0.0,low
1867,9,10,0.9,high
1869,6,11,0.5454545454545454,moderately high
1870,4,12,0.3333333333333333,moderately low
1871,0,2,0.0,low
1873,9,37,0.24324324324324326,low
1874,1,2,0.5,moderately high
1875,0,1,0.0,low
1876,2,7,0.2857142857142857,moderately low
1879,17,29,0.5862068965517241,moderately high
1880,39,63,0.6190476190476191,moderately high
1882,14,24,0.5833333333333334,moderately high
1891,0,9,0.0,low
1892,4,17,0.23529411764705882,low
1893,9,9,1.0,high
1894,2,4,0.5,moderately high
1897,12,22,0.5454545454545454,moderately high
1899,13,28,0.4642857142857143,moderately low
1900,5,6,0.8333333333333334,high
1901,0,1,0.0,low
1904,1,1,1.0,high
1907,3,7,0.42857142857142855,moderately low
1910,9,10,0.9,high
1913,2,13,0.15384615384615385,low
1918,0,3,0.0,low
1921,1,3,0.3333333333333333,moderately low
1923,2,2,1.0,high
1927,2,2,1.0,high
1928,4,8,0.5,moderately high
1931,3,3,1.0,high
1933,1,5,0.2,low
1936,5,6,0.8333333333333334,high
1939,1,6,0.16666666666666666,low
1945,4,8,0.5,moderately high
1946,5,12,0.4166666666666667,moderately low
1947,7,9,0.7777777777777778,high
1948,6,9,0.6666666666666666,moderately high
1949,10,15,0.6666666666666666,moderately high
1950,1,6,0.16666666666666666,low
1952,0,2,0.0,low
1953,2,5,0.4,moderately low
1954,10,23,0.43478260869565216,moderately low
1955,10,17,0.5882352941176471,moderately high
1956,0,4,0.0,low
1957,1,6,0.16666666666666666,low
1960,1,4,0.25,moderately low
1967,0,2,0.0,low
1971,10,12,0.8333333333333334,high
1972,0,2,0.0,low
1976,0,3,0.0,low
1978,2,8,0.25,moderately low
1980,0,3,0.0,low
1981,3,12,0.25,moderately low
1983,0,3,0.0,low
1985,0,8,0.0,low
1987,9,16,0.5625,moderately high
1988,3,11,0.2727272727272727,moderately low
1990,2,2,1.0,high
1991,1,1,1.0,high
1992,3,14,0.21428571428571427,low
1995,3,11,0.2727272727272727,moderately low
2002,0,5,0.0,low
2004,1,4,0.25,moderately low
2007,9,9,1.0,high
2010,1,3,0.3333333333333333,moderately low
2011,1,2,0.5,moderately high
2012,17,24,0.7083333333333334,moderately high
2013,14,30,0.4666666666666667,moderately low
2016,4,13,0.3076923076923077,moderately low
2020,0,3,0.0,low
2022,2,3,0.6666666666666666,moderately high
2023,1,5,0.2,low
2029,2,6,0.3333333333333333,moderately low
2032,2,3,0.6666666666666666,moderately high
2035,0,4,0.0,low
2038,6,9,0.6666666666666666,moderately high
2040,3,11,0.2727272727272727,moderately low
2046,73,108,0.6759259259259259,moderately high
2048,10,36,0.2777777777777778,moderately low
2049,0,2,0.0,low
2051,0,3,0.0,low
2053,9,13,0.6923076923076923,moderately high
2054,5,14,0.35714285714285715,moderately low
2056,0,4,0.0,low
2058,8,16,0.5,moderately high
2060,1,2,0.5,moderately high
2061,2,3,0.6666666666666666,moderately high
2065,2,4,0.5,moderately high
2067,8,21,0.38095238095238093,moderately low
2069,18,26,0.6923076923076923,moderately high
2070,2,3,0.6666666666666666,moderately high
2071,2,2,1.0,high
2074,0,1,0.0,low
2076,2,12,0.16666666666666666,low
2077,6,12,0.5,moderately high
2078,8,20,0.4,moderately low
2079,10,16,0.625,moderately high
2081,0,1,0.0,low
2087,1,5,0.2,low
2089,8,13,0.6153846153846154,moderately high
2092,0,2,0.0,low
2094,0,5,0.0,low
2101,0,1,0.0,low
2103,0,4,0.0,low
2107,4,14,0.2857142857142857,moderately low
2108,7,13,0.5384615384615384,moderately high
2109,20,24,0.8333333333333334,high
2110,2,4,0.5,moderately high
2112,7,8,0.875,high
2118,13,20,0.65,moderately high
2120,5,8,0.625,moderately high
2121,1,2,0.5,moderately high
2126,2,15,0.13333333333333333,low
2129,3,4,0.75,high
2133,2,3,0.6666666666666666,moderately high
2134,0,1,0.0,low
2137,4,7,0.5714285714285714,moderately high
2139,8,11,0.7272727272727273,moderately high
2140,2,4,0.5,moderately high
2143,0,1,0.0,low
2152,1,4,0.25,moderately low
2153,4,6,0.6666666666666666,moderately high
2159,8,17,0.47058823529411764,moderately low
2161,16,22,0.7272727272727273,moderately high
2165,2,3,0.6666666666666666,moderately high
2169,4,8,0.5,moderately high
2170,1,4,0.25,moderately low
2171,1,3,0.3333333333333333,moderately low
2186,2,6,0.3333333333333333,moderately low
2188,1,5,0.2,low
2189,0,3,0.0,low
2192,4,7,0.5714285714285714,moderately high
2193,3,9,0.3333333333333333,moderately low
2194,7,16,0.4375,moderately low
2200,4,8,0.5,moderately high
2203,2,6,0.3333333333333333,moderately low
2204,1,4,0.25,moderately low
2205,8,10,0.8,high
2208,9,11,0.8181818181818182,high
2213,5,10,0.5,moderately high
2215,1,5,0.2,low
2217,3,8,0.375,moderately low
2219,2,4,0.5,moderately high
